52,15725,buttergoods.com,buttergoods,https://www.facebook.com/buttergoods/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=201170286570921,0,105661,25538
53,15811,fathersonsclothing.com,FatherAndSons,https://www.facebook.com/FatherAndSons,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=197336993778613,47,594376,618019
54,16043,manscaped.com,manscaped,https://www.facebook.com/manscaped/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=1545577295743703,160,495744,137671
55,16276,arenacommerce.com,arenasupport,https://www.facebook.com/arenasupport/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=103951877618819,0,23,33
56,16299,fermliving.com,fermLIVING,https://www.facebook.com/fermLIVING/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=181084442241,55,963878,109387
57,17044,krisnations.com,krisnationsjewelry,https://www.facebook.com/krisnationsjewelry,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=77286551776,110,53843,11027
58,17510,carolazeta.com,carola.zeta,https://www.facebook.com/carola.zeta/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=967957876705516,0,None,None
59,17683,parissshe.com,fytparishes,https://www.facebook.com/fytparishes/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=111585420500000,0,None,97
60,17863,almasamsterdam.com,Almas-Store-102608714722018,https://www.facebook.com/Almas-Store-102608714722018/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=102608714722018,35,16858,697
61,18267,skims.com,SKIMSbody,https://www.facebook.com/SKIMSbody/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=2054164264892387,150,2841947,149101
62,18386,amrstore.com,Amrstore-113134797141356,https://www.facebook.com/Amrstore-113134797141356/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=113134797141356,0,None,756
63,18404,dimemtl.com,dimemtl,https://www.facebook.com/dimemtl/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=146654402175233,0,352661,21455
64,18416,merlettenyc.com,merlettenyc,https://www.facebook.com/merlettenyc/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=1701687666756206,6,38884,682
65,18421,oneblockdown.it,One-Block-Down-113926218623963,https://www.facebook.com/One-Block-Down-113926218623963/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=113926218623963,0,282588,102992
66,19285,mackweldon.com,MackWeldonUnderwear,https://www.facebook.com/MackWeldonUnderwear,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=102556986545296,100,83619,104248
68,19653,vapejuicedepot.com,VapeJuiceDepot,https://www.facebook.com/VapeJuiceDepot/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=1922694257976987,0,243,4446
69,19743,ruggable.com,ruggable,https://www.facebook.com/ruggable,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=147021062061602,630,776483,354021
70,19779,rothys.com,rothys,https://www.facebook.com/rothys/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=1012353748789496,330,348513,322041
71,19797,thirdlove.com,thirdlove,https://www.facebook.com/thirdlove,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=121559064656225,35,344154,547792
72,19804,viralecomadz.com,Viral-Ecom-Vidz-113467116859611,https://www.facebook.com/Viral-Ecom-Vidz-113467116859611/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=113467116859611,0,None,73
73,19822,limitedrungames.com,LimitedRunGames,https://www.facebook.com/LimitedRunGames/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=962233300503681,0,92005,62785
74,19951,whitefoxboutique.com.au,WhiteFoxBoutique,https://www.facebook.com/WhiteFoxBoutique/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=127674127382761,510,1716454,299465
75,20110,mondehousses.com,MondeHousses-103265661533176,https://www.facebook.com/MondeHousses-103265661533176/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=103265661533176,180,None,2350
76,20115,odin-gear.com,odingearofficial,https://www.facebook.com/odingearofficial/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=987604597971092,13,101883,83726
77,20215,jimmyjazz.com,JimmyJazzStores,https://www.facebook.com/JimmyJazzStores/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=100284304778,66,286798,198119
78,20593,nothing.tech,NiagaraTech,https://www.facebook.com/NiagaraTech/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=101276518172556,0,None,53
79,20673,pretavoir.co.uk,Pretavoir,https://www.facebook.com/Pretavoir,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=128872287171418,0,8899,5591
80,20806,novel3d.com,raquinvincent,https://www.facebook.com/raquinvincent/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=2178010908938015,0,46,45
81,20838,wildthings-collectables.com,wildthingscollectables,https://www.facebook.com/wildthingscollectables/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=1053614461386195,70,61752,5645
82,20971,jeffreestarcosmetics.com.br,JeffreeStar,https://www.facebook.com/JeffreeStar/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=61614240588,0,6674838,2969670
83,21117,creality3dofficial.com,OfficialCreality3d,https://www.facebook.com/OfficialCreality3d/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=604915133047235,17,,
84,21336,jinx.com,jinxdotcom,https://www.facebook.com/jinxdotcom,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=85695798031,0,60001,1490158
85,21694,pixelunion.net,pixelunion,https://www.facebook.com/pixelunion/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=180216898731573,13,2588,5247
86,22042,shoepalace.com,ShoePalace,https://www.facebook.com/ShoePalace/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=162121310466116,0,453328,114106
87,22188,mauimari.com,mauimarioceanjewelry-173592326024982,https://www.facebook.com/mauimarioceanjewelry-173592326024982/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=173592326024982,0,9108,1443
88,22463,thursdayboots.com,ThursdayBoots,https://www.facebook.com/ThursdayBoots,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=249533715240484,720,646456,223333
89,22468,thesill.com,TheSillNYC,https://www.facebook.com/TheSillNYC/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=173551216062763,88,859395,82005
90,22558,beyondskate.com.au,beyondskate,https://www.facebook.com/beyondskate/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=118968514537,88,28979,19773
91,22810,ever-pretty.com,everprettycom,https://www.facebook.com/everprettycom,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=124524927735074,53,118116,203799
93,23205,vacalvers.com,VaCalvers,https://www.facebook.com/VaCalvers/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=103245741350368,0,143,935
94,23348,carnivoro.shop,carnivorotherestaurant,https://www.facebook.com/carnivorotherestaurant/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=105731574112580,0,343,463
95,23429,amigoskateshop.com,amigosskateshop,https://www.facebook.com/amigosskateshop/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=108213592575176,0,45003,8580
96,23630,roseskinco.com,roseskinco,https://www.facebook.com/roseskinco/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=271075813777557,71,81874,82649
97,23644,nurserylive.com,nurserylive,https://www.facebook.com/nurserylive,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=149768141832792,0,119217,814324
98,23673,lovevery.com,Lovevery,https://www.facebook.com/Lovevery/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=1859617107640244,54,611864,119846
99,23878,vitalydesign.com,vitalydesign,https://www.facebook.com/vitalydesign,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=158986170792575,160,None,190358
100,24024,bonify.io,bonifyllc,https://www.facebook.com/bonifyllc,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=660498337349289,0,None,53
101,24062,082store.com,082fightstore,https://www.facebook.com/082fightstore/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=926787711006948,0,651,33
102,24157,spigen.com,SpigenWorld,https://www.facebook.com/SpigenWorld,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=206528906034344,2,114861,445514
103,24276,die-schmitzens-shop.de,Schmitzens,https://www.facebook.com/Schmitzens/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=101550791618632,0,338,707
104,24375,vincerowatches.com,vincerowatches,https://www.facebook.com/vincerowatches/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=231155390413200,100,247285,200842
